|,id,name,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,types__001,website,address,city,zipcode_area,rating,ratings,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJPePOk7O7woARVkq6ftTCnQM,ChIJPePOk7O7woARVkq6ftTCnQM,Jordan Company,"999 South Sepulveda Boulevard #1187, Los Angeles",34.0564622,-118.4519473,northeast,34.05780583,-118.4506075,store,,999 South Sepulveda Boulevard #1187, Los Angeles,90025,,,,,,,,,,
ChIJF6okNH27woARhuWQExueQH8,ChIJF6okNH27woARhuWQExueQH8,AdExpert,"39 South Sepulveda Boulevard, Los Angeles",34.0554986,-118.4510364,northeast,34.05682928,-118.4497184,,,39 South Sepulveda Boulevard, Los Angeles,90025,,,,,,,,,,
ChIJRUVUGim7woARCrj9MQbGETg,ChIJRUVUGim7woARCrj9MQbGETg,lovelykk,"214 South Sepulveda Boulevard, Los Angeles",34.0556085,-118.4511311,northeast,34.05693918,-118.4498131,,,214 South Sepulveda Boulevard, Los Angeles,90025,,,,,,,,,,
ChIJTxsvXn27woARXU-fMoTY1zM,ChIJTxsvXn27woARXU-fMoTY1zM,Gold Properties,"11145 Wilshire Boulevard #123, Los Angeles",34.0570847,-118.4499281,northeast,34.05840658,-118.4485597,real_estate_agency,,11145 Wilshire Boulevard #123, Los Angeles,90025,,,,,,,,,,
ChIJLdi8lTC7woARaJaw94c_YM0,ChIJLdi8lTC7woARaJaw94c_YM0,ResultCalls,"10880 Wilshire Boulevard Suite 1101, Los Angeles",34.0569679,-118.449864,northeast,34.05828958,-118.4484961,,https://resultcalls.com/,10880 Wilshire Boulevard Suite 1101, Los Angeles,90025,5,1,,,,,,,,
ChIJhUhKcX27woARJFHMUisLjAQ,ChIJhUhKcX27woARJFHMUisLjAQ,Voice of America,"11000 Wilshire Boulevard # C300, Los Angeles",34.056668,-118.448818,northeast,34.05779968,-118.4477659,,http://www.voanews.com/,11000 Wilshire Boulevard # C300, Los Angeles,90025,,,,,,,,,,
ChIJhUhKcX27woAR9N5zHWfvwzM,ChIJhUhKcX27woAR9N5zHWfvwzM,US Foreign Press Center,"11000 Wilshire Boulevard, Los Angeles",34.056668,-118.448818,northeast,34.05779968,-118.4477659,courthouse,,11000 Wilshire Boulevard, Los Angeles,90025,,,,,,,,,,
ChIJhUhKcX27woARDyx8IddESv4,ChIJhUhKcX27woARDyx8IddESv4,Bureau of Diplomatic Securt,"11000 Wilshire Boulevard # 1, Los Angeles",34.056668,-118.448818,northeast,34.05779968,-118.4477659,,,11000 Wilshire Boulevard # 1, Los Angeles,90025,,,,,,,,,,
ChIJhUhKcX27woARVusBHWEHZak,ChIJhUhKcX27woARVusBHWEHZak,Federal Bureau of Investigation,"11000 Wilshire Boulevard #1700, Los Angeles",34.0567092,-118.4487278,northeast,34.05782028,-118.4477208,,http://www.fbi.gov/,11000 Wilshire Boulevard #1700, Los Angeles,90025,4.3,83,,,,,,,,
ChIJhUhKcX27woARCO13JsjYohk,ChIJhUhKcX27woARCO13JsjYohk,"Kurt Kelly, Actor - Signature Voice Over Artist, Producer - Director, Founder - CEO","Wilshire Federal Building, 11000 Wilshire Boulevard #1971, Los Angeles",34.056262,-118.448404,northeast,34.05757173,-118.4475357,electronics_store,http://facebook.com/KURTKELLYVOICEOVER,Wilshire Federal Building, 11000 Wilshire Boulevard #1971,90025,5,4,home_goods_store,store,,,,,,
ChIJVVUVcX27woARx7zYc4In3Eo,ChIJVVUVcX27woARx7zYc4In3Eo,Westwood Neighborhood Council,"11000 Wilshire Boulevard, Los Angeles",34.0566568,-118.448893,northeast,34.05779408,-118.4478034,,http://wwnc.org/,11000 Wilshire Boulevard, Los Angeles,90025,3,2,,,,,,,,
