id,street_address,city,state,zip_code
3,4901 Huntington Drive N,Los Angeles,CA,90032
10,1705 N Commonwealth Avenue,Los Angeles,CA,90027
11,1305 N Catalina Street,Los Angeles,CA,90027
22,11601 Wilshire Blvd Suite #500,Los Angeles,CA,90025
24,1833 Benecia Avenue,Los Angeles,CA,90025
27,1640 S Sepulveda Blvd,Los Angeles,CA,90025
36,307 E Jefferson Blvd,Los Angeles,CA,90011
39,5711 1/2 Huntington Drive N,Los Angeles,CA,90032
40,3645 Mckenzie Avenue,Los Angeles,CA,90032
41,5117 Huntington Drive N,Los Angeles,CA,90032
46,4615 Grey Drive Unit #4,Los Angeles,CA,90032
48,5220 W Sunset Blvd,Los Angeles,CA,90027
50,4440 Lowell Avenue,Los Angeles,CA,90032
56,1917 Rodney Drive #319,Los Angeles,CA,90027
60,11041 Santa Monica Blvd #720,Los Angeles,CA,90025
62,12100 Wilshire Blvd Suite #1150,Los Angeles,CA,90025
66,11551 Santa Monica Blvd,Los Angeles,CA,90025
70,360 E Jefferson Blvd,Los Angeles,CA,90011
72,2206 S Central Avenue,Los Angeles,CA,90011
83,2424 Lyric Avenue,Los Angeles,CA,90027
89,11645 Wilshire Blvd #1065,Los Angeles,CA,90025
93,1436 E Slauson Avenue,Los Angeles,CA,90011
97,4803 Converse Street,Los Angeles,CA,90032
103,1567 N Serrano Avenue,Los Angeles,CA,90027
106,11601 Wilshire Blvd Suite #2150,Los Angeles,CA,90025
116,11766 Wilshire Blvd Floor #9Th,Los Angeles,CA,90025
134,1187 E 58Th Street,Los Angeles,CA,90011
136,2019 Thayer Avenue,Los Angeles,CA,90025
141,1245 E 40Th Place,Los Angeles,CA,90011
146,1324 N Kingsley Drive,Los Angeles,CA,90027
152,239 E 53Rd Street,Los Angeles,CA,90011
154,2526 Hyperion Avenue Unit #3,Los Angeles,CA,90027
170,1849 Sawtelle Blvd Suite #543,Los Angeles,CA,90025
171,441 E 28Th Street,Los Angeles,CA,90011
172,4322 S Central Avenue,Los Angeles,CA,90011
174,1818 Sawtelle Blvd,Los Angeles,CA,90025
175,1302 S Saltair Avenue #2,Los Angeles,CA,90025
177,11755 Wilshire Blvd Floor #15,Los Angeles,CA,90025
190,11601 Wilshire Blvd Suite #500,Los Angeles,CA,90025
192,5173 W Sunset Blvd,Los Angeles,CA,90027
197,3804 Evans Street,Los Angeles,CA,90027
198,3715 Winchester Avenue,Los Angeles,CA,90032
199,1418 Amherst Avenue #1,Los Angeles,CA,90025
200,2075 De Mille Drive,Los Angeles,CA,90027
201,11645 Wilshire Blvd Suite #987,Los Angeles,CA,90025
202,4325 Sunset Drive Suite #209,Los Angeles,CA,90027
203,11110 Ohio Avenue #108,Los Angeles,CA,90025
205,4600 Compton Avenue,Los Angeles,CA,90011
206,4647 Russell Avenue,Los Angeles,CA,90027
207,5055 Franklin Avenue,Los Angeles,CA,90027
208,1521 Greenfield Avenue #105,Los Angeles,CA,90025
209,5123 W Sunset Blvd Unit #201,Los Angeles,CA,90027
210,1927 Prosser Avenue,Los Angeles,CA,90025
214,3249 N Eastern Avenue,Los Angeles,CA,90032
215,445 E 29Th Street,Los Angeles,CA,90011
216,1822 Westwood Blvd,Los Angeles,CA,90025
218,1737 Butler Avenue,Los Angeles,CA,90025
227,4412 1/4 Kingswell Avenue,Los Angeles,CA,90027
229,1550 N Hobart Blvd #205,Los Angeles,CA,90027
230,1155 E 28Th Street,Los Angeles,CA,90011
