,account_num,business_name,street_address,city,zip_code,location_start_date,location_end_date,lat,long
0,0003154496-0001-1,MARIO RODRIGUEZ AGUILAR,1129 E 58Th Street,Los Angeles,90011,2018-09-01,,33.9905,-118.2556
1,0002950294-0002-4,ALLISON MANNOS,1554 N Hobart Blvd #6,Los Angeles,90027,2019-10-04,,34.0997,-118.3052
2,0002952055-0001-4,MATT STROMBERG,430 E 30Th Street,Los Angeles,90011,2016-01-01,,34.0196,-118.2666
3,0000749276-0076-9,HRB TAX GROUP INC,4901 Huntington Drive N,Los Angeles,90032,2015-01-10,2018-08-28,34.08683,-118.177055
4,0002817985-0001-4,JOSE A CABRERA,1434 E 48Th Place,Los Angeles,90011,2012-01-01,,33.9992,-118.2492
5,0003141480-0001-2,MICHAEL REINHARD,4139 1/2 Clayton Avenue,Los Angeles,90027,2016-06-17,,34.1003,-118.2817
6,0003153807-0001-9,AHRAM PARK,4825 Converse Street,Los Angeles,90032,2018-01-01,,34.083,-118.1798
7,0003152402-0001-6,MILLER AND SOSNICK TEMPLE HILL LLC,2583 Glendower Avenue,Los Angeles,90027,2016-01-28,,34.1161,-118.294
8,0003010518-0001-0,MAYA SMOKE & VAPE INC,1555 N Vermont Avenue,Los Angeles,90027,2017-08-16,,34.0998,-118.2925
9,0002912243-0001-2,AMERICAN LASER CUTTER,4841 Bonvue Avenue,Los Angeles,90027,2015-10-01,,34.1136,-118.2969
10,0002921739-0001-6,FRANK MEDIA GROUP LLC,1705 N Commonwealth Avenue,Los Angeles,90027,2016-06-07,2019-08-01,34.101936,-118.285225
11,0002830419-0001-8,SOULPANCAKE PRODUCTIONS LLC,1305 N Catalina Street,Los Angeles,90027,2015-01-01,2018-12-31,34.09569,-118.29503
12,0003034965-0001-9,CHAMBERLAIN RENTALS LLC,2235 Hyperion Avenue,Los Angeles,90027,2017-01-01,,34.101,-118.2735
13,0003154078-0001-1,NICHOLAS W PALEY,3269 1/8 Rowena Avenue,Los Angeles,90027,2017-09-01,,34.1111,-118.2764
14,0003154253-0001-7,URBAN HOPE INC,1903 S Westgate Avenue,Los Angeles,90025,2019-01-01,,34.0364,-118.4545
15,0003138370-0001-5,"ZORTEK, LLC",4411 Melbourne Avenue #F,Los Angeles,90027,2018-01-01,,34.1039,-118.2858
16,0003140106-0001-9,LTT MANAGEMENT LLC,636 E 28Th Street,Los Angeles,90011,2017-01-01,,34.02,-118.2633
17,0003140476-0001-9,ADAM IANNIELLO,4201 Los Feliz Blvd #5,Los Angeles,90027,2016-01-01,,34.113,-118.2834
18,0002873799-0001-9,ROBERT AGUIRRE,323 E 35Th Street,Los Angeles,90011,2013-01-01,,34.0157,-118.2686
19,0003131671-0001-3,SUPERSHY LLC,5419 Hollywood Blvd Suite #C,Los Angeles,90027,2019-06-06,,34.1019,-118.3077
20,0002468791-0001-1,MICHELLE DIZON,4767 Templeton Street,Los Angeles,90032,2009-10-27,2019-07-01,34.0818,-118.1799
21,0003121419-0001-5,SBDP INC,1937 Palmerston Place,Los Angeles,90027,2019-03-20,,34.1063,-118.298
22,0002518544-0001-3,MZ & MZ INC,11601 Wilshire Blvd Suite #500,Los Angeles,90025,2010-08-26,,34.050735,-118.4593
23,0003142260-0001-6,MRPCANDY LLC,12008 Wilshire Blvd Front #101,Los Angeles,90025,2018-07-02,,34.0448,-118.4662
24,0002907810-0001-7,DINA EPSTEIN,1833 Benecia Avenue,Los Angeles,90025,2015-04-01,2018-01-01,34.056923,-118.42251
25,0003056084-0001-5,"HONGYUAN TRADING, INC.",1830 N Rowan Avenue,Los Angeles,90032,2018-05-21,,34.0639,-118.1878
26,0002998452-0001-2,"FPD BRANDS, INC",4101 Avalon Blvd,Los Angeles,90011,2017-07-21,,34.009,-118.2655
27,0000439891-0107-3,"ABM INDUSTRY GROUPS, LLC",1640 S Sepulveda Blvd,Los Angeles,90025,1986-05-01,2018-12-31,34.04857,-118.445076
28,0000888983-0001-8,JACK IN THE BOX PROPERTIES,10967 Santa Monica Blvd,Los Angeles,90025,1970-11-01,,34.0489,-118.4401
29,0002550390-0001-4,NAOKO MCCONNELL,3986 Drysdale Avenue,Los Angeles,90032,2011-03-22,,34.0921,-118.1753
30,0003142746-0001-7,GRIGOR DEMIRTCHIAN SERVICES INC,1831 Winona Blvd #213,Los Angeles,90027,2019-08-09,,34.1044,-118.3025
31,0002530209-0002-0,HELMUT ERIC STEIBL,1840 Veteran Avenue #306,Los Angeles,90025,2019-07-01,,34.0481,-118.439
32,0003126512-0001-8,LIVING NOW RECOVERY LLC,11566 Mississippi Avenue,Los Angeles,90025,2017-06-01,,34.0369,-118.4466
33,0003139712-0001-2,TROPICA FRESH,11347 Santa Monica Blvd,Los Angeles,90025,2019-08-01,,34.0461,-118.4502
34,0002582854-0001-2,KELLI GARNER,11150 Santa Monica Blvd Suite #600,Los Angeles,90025,2010-01-01,,34.0462,-118.4445
35,0003154355-0001-4,FARZIN HALAVY,12400 Wilshire Blvd Suite #230,Los Angeles,90025,2019-10-11,,34.0417,-118.4699
36,0003167836-0001-1,DILCIA L ELIAS,307 E Jefferson Blvd,Los Angeles,90011,2019-12-17,2020-03-19,34.01709,-118.26918
37,0003163056-0001-3,"BAT BOMB, INC.",1917 Rodney Drive Apt #216,Los Angeles,90027,2018-01-01,,34.1059,-118.2893
38,0000840809-0002-2,"HILLSTONE RESTAURANT GROUP, INC.",11700 Wilshire Blvd,Los Angeles,90025,1996-08-12,,34.0494,-118.4608
39,0002096764-0001-6,GUSTAVO ARTURO RAMOS,5711 1/2 Huntington Drive N,Los Angeles,90032,1995-01-01,,34.0941196,-118.1601643
40,0002644502-0001-5,DAVID J STAKUN,3645 Mckenzie Avenue,Los Angeles,90032,2011-08-01,,34.088425,-118.19027
41,0002882431-0001-5,STEWS MILK MART,5117 Huntington Drive N,Los Angeles,90032,2016-01-01,2019-09-05,34.089523,-118.17016
42,0003154529-0001-8,MICHAEL LOCKSHIN,3914 Franklin Avenue,Los Angeles,90027,2019-01-01,,34.1046,-118.2774
43,0003045053-0001-6,RNL PLUMBING INC,12021 Wilshire Blvd Unit #407,Los Angeles,90025,2018-03-01,,34.0454,-118.466
44,0003150567-0001-4,GOAL VENTURE INC,4925 Hooper Avenue,Los Angeles,90011,2019-09-23,,33.9983,-118.2522
45,0003151901-0001-5,FEDERICA DEGLI ESPOSTI,3328 Rowena Avenue Unit #C,Los Angeles,90027,2019-09-01,,34.1108,-118.2779
46,0002404785-0001-8,JOSE MARTIN SANDOVAL,4615 Grey Drive Unit #4,Los Angeles,90032,2009-01-22,2018-12-31,34.084534,-118.18449
47,0002948455-0001-4,DAVID SCOTT MURPHY,11728 Wilshire Blvd #B608,Los Angeles,90025,2016-09-27,,34.0481,-118.4605
48,0002940359-0001-6,TAGUHI SARKISYAN,5220 W Sunset Blvd,Los Angeles,90027,2016-10-18,2019-09-25,34.09811,-118.30364
49,0002105099-0001-3,JUDITH PULVER,11175 Santa Monica Blvd,Los Angeles,90025,2001-01-01,,34.0475,-118.446
50,0003079804-0001-6,EDYLL TAMPI,4440 Lowell Avenue,Los Angeles,90032,2018-10-05,2019-10-02,34.0971,-118.16252
51,0003150143-0001-6,THOMAS PROCTOR,10345 Mississippi Avenue,Los Angeles,90025,2019-09-18,,34.0544,-118.4206
52,0003131027-0001-3,EVERYDAY OLIVE LLC,1825 N Vermont Avenue Unit #29051,Los Angeles,90027,2019-05-06,,34.1043,-118.2924
53,0000820895-0001-6,QCA CAPITAL MANAGEMENT INC,11111 Santa Monica Blvd #1450,Los Angeles,90025,1989-03-15,,34.0476,-118.4444
54,0003144162-0001-1,EUNCHAN AND YEEUN INC,11311 Mississippi Avenue,Los Angeles,90025,2019-10-15,,34.0395,-118.4428
55,0003150756-0001-2,MARIA MENDOZA,4906 1/2 Wadsworth Avenue,Los Angeles,90011,2019-09-25,,33.9992,-118.2585
56,0000028700-0002-5,PAMELA A JAYE,1917 Rodney Drive #319,Los Angeles,90027,2019-03-28,,34.105907,-118.28888
57,0003054015-0001-0,"LA GRANGE, LLC",11162 La Grange Avenue,Los Angeles,90025,2018-02-01,,34.0423,-118.441
58,0002421250-0001-4,JOLLY ROAD PRODUCTIONS INC,1516 S Bundy Drive Suite #208,Los Angeles,90025,2006-06-22,,34.0402,-118.4625
59,0003153489-0001-4,SAMANTHA CHRISTOPHER,1333 Brockton Avenue Unit #4,Los Angeles,90025,2014-01-01,,34.0434,-118.4633
60,0002011537-0001-5,KEITH A WELSH,11041 Santa Monica Blvd #720,Los Angeles,90025,2002-01-01,2018-12-31,34.047794,-118.44376
61,0000582111-0001-8,LOBO PRODUCTIONS,11766 Wilshire Blvd Floor #9Th,Los Angeles,90025,1998-01-01,,34.0478,-118.4617
62,0002662787-0001-1,SAMUEL FALSON,12100 Wilshire Blvd Suite #1150,Los Angeles,90025,2007-01-01,2018-07-09,34.044044,-118.46754
