,Google_ID,Google_Name,Google_Rating,Google_Total_Ratings,geometry__location__lat,geometry__location__lng,website,address,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009,id,is_closed,url,review_count,rating,Yelp_Data_Exists,Google_Website_Exists,Both_Website_and_Yelp_Data_Exists,Either_Website_or_Yelp_Data_Exists,is_food_service,TIGER Match Type,TIGER Output Address,Tract Code,geometry,tract
0,ChIJRVfrG4nIwoARF_SkMwFk7EA,Emmanuel Church of God in Christ,4.2,5.0,34.012648999999996,-118.2489844,http://emmanuelcogic33rd.org/,1399 East 33rd Street,90011,church,place_of_worship,,,,,,,,,,,,,0,1,0,1,0.0,Exact,"1399 E 33RD ST, LOS ANGELES, CA, 90011",227020.0,POINT (-118.2489844 34.012649),227020
1,ChIJcTMb_ljJwoARXoRUY6F22Lw,maiky winwdow tint,,,34.012635100000004,-118.2503096,,1354 East 33rd Street,90011,car_repair,,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1354 E 33RD ST, LOS ANGELES, CA, 90011",228210.0,POINT (-118.2503096 34.0126351),228210
2,ChIJH-YgEonIwoARlzWDWF2Khjg,Jose Pillows,,,34.011877500000004,-118.2489003,,3300 Compton Avenue,90011,,,,,,,,,,,,,,,0,0,0,0,,Exact,"3300 COMPTON AVE, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2489003 34.0118775),228100
3,ChIJ8_3mEInIwoARh-oTmrR7dFw,Neighborhood Meat Market,1.2,5.0,34.0121124,-118.2487451,,3220 Compton Avenue,90011,food,store,,,,,,,,,,,,,0,0,0,0,1.0,Exact,"3220 COMPTON AVE, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2487451 34.0121124),228100
4,ChIJAQBAzovIwoAR1GZWEUhuMz8,Moran's Premium Foods,,,34.009606,-118.24941840000001,http://www.moransallnatural.com/contact.asp,4020 Compton Avenue,90011,,,,,,,,,,,,,,,0,1,0,1,,,,,POINT (-118.2494184 34.009606),228100
5,ChIJbcMD04vIwoARrOXHTKbzYLI,Don Lee Farms®,3.7,19.0,34.0103139,-118.249099,http://www.donleefarms.com/,4010 Compton Avenue,90011,storage,,,,,,,,,,,,,,0,1,0,1,0.0,,,,POINT (-118.249099 34.0103139),228100
6,ChIJo3ZmfjvJwoARHltRHyx-kRY,Samuel R. Browne Auditorium,,,34.010762400000004,-118.25083500000001,http://jeffersonhs.us/,Hooper Ave. and,90011,,,,,,,,,,,,,,,0,1,0,1,,,,,POINT (-118.250835 34.0107624),228210
7,ChIJb-BT0ovIwoAR9P4Mkw5C6wo,Naples Kitchen,5.0,1.0,34.009606,-118.24941840000001,http://napleskitchenusa.com/,4020 Compton Avenue,90011,,,,,,,,,,,,,,,0,1,0,1,,,,,POINT (-118.2494184 34.009606),228100
8,ChIJbcMD04vIwoARaET1lgJbQ30,"CLW Foods, Inc",,,34.009606,-118.24941840000001,http://clwfoods.com/,4020 Compton Avenue,90011,,,,,,,,,,,,,,,0,1,0,1,,,,,POINT (-118.2494184 34.009606),228100
9,ChIJoyR8qIjIwoARtczgMcEuV9Y,Cochos Textile,,,34.015606,-118.24752040000001,,1433 East Adams Boulevard,90011,home_goods_store,store,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1433 E ADAMS BLVD, LOS ANGELES, CA, 90011",227020.0,POINT (-118.2475204 34.015606),227020
10,ChIJJ2BOrIjIwoARwzVXmxioJyw,Best Trimming,,,34.0154126,-118.24705459999998,,2539 Compton Avenue,90011,furniture_store,home_goods_store,store,,,,,,,,,,,,0,0,0,0,0.0,Exact,"2539 COMPTON AVE, LOS ANGELES, CA, 90011",227020.0,POINT (-118.2470546 34.0154126),227020
11,ChIJQbVbXR_JwoAR2-mEUggAYYM,Ces Femme by Miin,5.0,1.0,34.015809399999995,-118.24777420000001,http://www.cesfemme.com/,1423 East Adams Boulevard,90011,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1423 E ADAMS BLVD, LOS ANGELES, CA, 90011",227020.0,POINT (-118.2477742 34.01580939999999),227020
12,ChIJAQCwHYbIwoAR7nbWsiVrSRc,Fabrica De Costura,,,34.015809399999995,-118.24777420000001,,1423 East Adams Boulevard,90011,store,,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1423 E ADAMS BLVD, LOS ANGELES, CA, 90011",227020.0,POINT (-118.2477742 34.01580939999999),227020
13,ChIJq2OHoIjIwoARP7XakSu-avI,Mixografia,4.9,7.0,34.015834999999996,-118.247948,http://www.mixografia.com/,1419 East Adams Boulevard,90011,art_gallery,,,,,,,,,,,,,,0,1,0,1,0.0,Exact,"1419 E ADAMS BLVD, LOS ANGELES, CA, 90011",227020.0,POINT (-118.247948 34.015835),227020
14,ChIJI3isyojIwoARtD13fC6VKPE,Elite Sublimation,5.0,1.0,34.014907,-118.24706259999999,,1516 East Adams Boulevard,90011,,,,,,,,,,,,,,,0,0,0,0,,Exact,"1516 E ADAMS BLVD, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2470626 34.014907),228100
15,ChIJVVUVtYjIwoARk3qEGz9GYd4,Elite Art Lab,,,34.014894500000004,-118.2470479,,1516 East Adams Boulevard,90011,store,,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1516 E ADAMS BLVD, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2470479 34.0148945),228100
16,ChIJzd8sVY_IwoAR-ZZZbwc3DdM,General Propane Services,,,34.015903,-118.247002,,2501 Compton Avenue,90011,,,,,,,,,,,,,,,0,0,0,0,,Exact,"2501 COMPTON AVE, LOS ANGELES, CA, 90011",227020.0,POINT (-118.247002 34.015903),227020
17,ChIJGyj4ho_IwoARvB5iG2Rq3Ig,Cart & Supply,,,34.0147043,-118.2469062,http://www.cartnsupply.com/,1516 East Adams Boulevard,90011,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1516 E ADAMS BLVD, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2469062 34.0147043),228100
18,ChIJo77NI4bIwoAR8SWi5btZxK0,You-Na Inc,,,34.016014,-118.248326,,1401 East Adams Boulevard,90011,,,,,,,,,,,,,,,0,0,0,0,,Exact,"1401 E ADAMS BLVD, LOS ANGELES, CA, 90011",227020.0,POINT (-118.248326 34.016014),227020
19,ChIJ9--aUY_IwoARoxL6DowQBfI,Sigurdson Sales & Service,,,34.015413,-118.24643600000002,,1510 East 25th Street,90011,,,,,,,,,,,,,,,0,0,0,0,,Exact,"1510 E 25TH ST, LOS ANGELES, CA, 90011",228100.0,POINT (-118.246436 34.015413),228100
20,ChIJ1xuCRY_IwoAREPrY5mBfqQ4,Entry,4.0,2.0,34.0154995,-118.24624740000002,,1530 East 25th Street,90011,,,,,,,,,,,,,,,0,0,0,0,,,,,POINT (-118.2462474 34.0154995),228100
21,ChIJr4uHE-3JwoARkqKA82kkpKk,Mariscos Islitas #1,5.0,1.0,34.0163003,-118.2484067,,Hooper Place,90011,restaurant,food,,,,,,,,s-ReMKeAoJNfKKdwzvwAtg,False,https://www.yelp.com/biz/las-islitas-no-1-los-angeles?adjust_creative=Jipkfx4c4CnSK1Cz7nLQbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Jipkfx4c4CnSK1Cz7nLQbQ,78.0,4.0,1,0,0,1,1.0,,,,POINT (-118.2484067 34.0163003),227020
22,ChIJI0p8Po_IwoARaaSnwdlt3gA,Champagne Italy,4.3,3.0,34.0148486,-118.24551509999998,http://champagneitalysuits.com/,1537 East Adams Boulevard,90011,clothing_store,store,,,,,,,,,,,,,0,1,0,1,0.0,Exact,"1537 E ADAMS BLVD, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2455151 34.0148486),228100
23,ChIJ5dadXI_IwoARopqkTn5GrOo,Gozon,2.7,18.0,34.015664,-118.245709,,1525 East 25th Street,90011,clothing_store,store,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1525 E 25TH ST, LOS ANGELES, CA, 90011",227010.0,POINT (-118.245709 34.015664),227010
24,ChIJ5dadXI_IwoARqXDbEfuIigc,CEZANNE USA,4.1,9.0,34.015664,-118.245709,http://www.cezanneusa.com/,1525 East 25th Street,90011,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1525 E 25TH ST, LOS ANGELES, CA, 90011",227010.0,POINT (-118.245709 34.015664),227010
25,ChIJwSo0EY_IwoARcjtPBCy_SSY,ClothingIsland.Com,4.6,5.0,34.014583200000004,-118.2450029,http://www.clothingisland.com/,1561 East Adams Boulevard,90011,clothing_store,store,,,,,,,,,,,,,0,1,0,1,0.0,Exact,"1561 E ADAMS BLVD, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2450029 34.0145832),228100
26,ChIJlRpWJI_IwoARq7_d--x7Vow,"Stretch Is Comfort, Inc.",3.8,5.0,34.014078000000005,-118.245875,http://www.stretchiscomfort.com/,2619 Leta Street,90011,clothing_store,store,,,,,,,,,,,,,0,1,0,1,0.0,Exact,"2619 LETA ST, LOS ANGELES, CA, 90011",228100.0,POINT (-118.245875 34.014078),228100
27,ChIJJbMJEo_IwoARLjMvNnDSW5s,Berberian Raffie,,,34.0149212,-118.2446297,,2505 Nevin Avenue,90011,home_goods_store,general_contractor,store,,,,,,,,,,,,0,0,0,0,0.0,Exact,"2505 NEVIN AVE, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2446297 34.0149212),228100
28,ChIJueJPYI_IwoARAxRFuoRYe-0,Naima Embroidery,,,34.016017,-118.24531999999999,,1634 East 23rd Street,90011,store,,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1634 E 23RD ST, LOS ANGELES, CA, 90011",227010.0,POINT (-118.24532 34.016017),227010
29,ChIJdf2FMY_IwoARsT1fi95mzkQ,Dash Sportswear,5.0,3.0,34.0140395,-118.24629270000001,,2616 Geraldine Street,90011,home_goods_store,store,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"2616 GERALDINE ST, LOS ANGELES, CA, 90011",228100.0,POINT (-118.2462927 34.0140395),228100
30,ChIJjbV6OY_IwoARRUZdFPDy5co,General Boiler Company/Steam Equipment,,,34.01441,-118.245826,http://www.generalboiler.com/,1546 East Adams Boulevard,90011,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1546 E ADAMS BLVD, LOS ANGELES, CA, 90011",228100.0,POINT (-118.245826 34.01441),228100
31,ChIJ1yuJco_IwoARKqQwIIhFmdI,Alna Envelope Co Inc,3.7,3.0,34.0153236,-118.24472040000002,http://alnaenvelope.com/,1567 East 25th Street,90011,,,,,,,,,,1ZW2xrXdixLFfC9W_o1l5w,False,https://www.yelp.com/biz/alna-envelope-company-inc-los-angeles?adjust_creative=Jipkfx4c4CnSK1Cz7nLQbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=Jipkfx4c4CnSK1Cz7nLQbQ,1.0,5.0,1,1,1,1,,Exact,"1567 E 25TH ST, LOS ANGELES, CA, 90011",227010.0,POINT (-118.2447204 34.0153236),227010
32,ChIJFQyv_3bJwoARFBaKyF1cnOI,You N Me,,,34.015195,-118.24561899999999,,1540 East 25th Street,90011,clothing_store,store,,,,,,,,,,,,,0,0,0,0,0.0,Exact,"1540 E 25TH ST, LOS ANGELES, CA, 90011",228100.0,POINT (-118.245619 34.015195),228100
33,ChIJ1xuCRY_IwoARwq7UABf6Y5E,Misa Los Angeles,,,34.015312,-118.246059,http://www.misalosangeles.com/,1530 East 25th Street,90011,,,,,,,,,,,,,,,0,1,0,1,,,,,POINT (-118.246059 34.015312),228100
34,ChIJ1xuCRY_IwoARcBd4p3gO238,Alt B,,,34.015312,-118.246059,,1530 East 25th Street,90011,clothing_store,store,,,,,,,,,,,,,0,0,0,0,0.0,,,,POINT (-118.246059 34.015312),228100
35,ChIJH22_FI_IwoAR4yJpT2UooXY,Rainbow Baptist Church,,,34.015013700000004,-118.2450735,,,90011,church,place_of_worship,,,,,,,,,,,,,0,0,0,0,0.0,,,,POINT (-118.2450735 34.0150137),228100
36,ChIJKWqKj-7JwoARlUYsXbP-dGE,HeimishUSA,5.0,1.0,34.0156696,-118.2457287,http://heimishusa.com/,1525 East 25th Street,90011,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1525 E 25TH ST, LOS ANGELES, CA, 90011",227010.0,POINT (-118.2457287 34.0156696),227010
37,ChIJqV0F82fJwoAR8FWp43I63_k,Heimish USA,,,34.0156696,-118.2457287,https://heimishusa.com/,1525 East 25th Street,90011,,,,,,,,,,,,,,,0,1,0,1,,Exact,"1525 E 25TH ST, LOS ANGELES, CA, 90011",227010.0,POINT (-118.2457287 34.0156696),227010
